City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
152,Srednekolymsk,RU,2020-02-23 21:20:06,67.45,153.68,-24.97,98,78,1.59,broken clouds,0.0,0.0
153,Sitka,US,2020-02-23 21:15:11,57.05,-135.33,33.8,93,90,10.29,light rain,0.0,0.0
154,Kampot,KH,2020-02-23 21:20:07,10.62,104.18,80.6,65,28,13.87,scattered clouds,0.0,0.0
155,Soller,ES,2020-02-23 21:20:07,39.77,2.72,55.0,93,0,4.7,clear sky,0.0,0.0
156,Norman Wells,CA,2020-02-23 21:20:07,65.28,-126.83,5.0,71,75,10.29,broken clouds,0.0,0.0
157,Ati,TD,2020-02-23 21:20:07,13.22,18.34,76.5,13,0,16.55,clear sky,0.0,0.0
158,Mount Gambier,AU,2020-02-23 21:20:07,-37.83,140.77,57.2,93,100,6.93,overcast clouds,0.0,0.0
159,Tamworth,GB,2020-02-23 21:17:33,52.63,-1.7,43.0,71,95,3.36,overcast clouds,0.0,0.0
160,Faanui,PF,2020-02-23 21:19:55,-16.48,-151.75,82.76,72,55,11.88,broken clouds,0.0,0.0
161,Soyo,AO,2020-02-23 21:18:56,-6.13,12.37,80.15,85,93,2.15,overcast clouds,0.0,0.0
162,Speightstown,BB,2020-02-23 21:20:08,13.25,-59.65,82.4,74,40,13.87,scattered clouds,0.0,0.0
163,Ostrovnoy,RU,2020-02-23 21:20:08,68.05,39.51,29.05,95,100,15.93,light snow,0.0,0.44
164,Alta,NO,2020-02-23 21:20:09,69.97,23.27,23.0,85,75,5.82,light snow,0.0,0.0
165,Ambilobe,MG,2020-02-23 21:18:14,-13.2,49.05,76.59,91,97,1.36,light rain,0.19,0.0
166,Sept-Iles,CA,2020-02-23 21:17:03,50.2,-66.38,30.2,86,75,4.7,broken clouds,0.0,0.0
167,Esik,KZ,2020-02-23 21:20:09,43.36,77.45,33.8,91,90,1.41,mist,0.0,0.0
