City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
223,Luba,GQ,2020-02-22 22:14:15,3.46,8.55,84.2,83,20,10.29
224,Nikolskoye,RU,2020-02-22 22:14:15,59.7,30.79,35.01,93,90,13.42
225,Ulaanbaatar,MN,2020-02-22 22:10:50,47.91,106.88,-5.8,76,68,2.24
226,Amposta,ES,2020-02-22 22:14:16,40.71,0.58,50.0,93,42,1.12
227,Aklavik,CA,2020-02-22 22:14:16,68.22,-135.01,-0.4,84,90,3.36
228,Santa Cruz,BO,2020-02-22 22:10:02,-17.8,-63.17,80.6,44,20,21.92
229,Killybegs,IE,2020-02-22 22:14:16,54.63,-8.45,39.99,92,100,7.0
230,Port Moresby,PG,2020-02-22 22:14:16,-9.44,147.18,84.2,79,40,11.41
231,Vestmannaeyjar,IS,2020-02-22 22:11:44,63.44,-20.27,34.2,60,100,5.57
232,Bull Savanna,JM,2020-02-22 22:14:17,17.89,-77.59,76.78,72,94,5.32
233,Pondicherry,IN,2020-02-22 22:14:17,11.93,79.83,79.77,78,100,14.7
234,Butiama,TZ,2020-02-22 22:14:17,-1.77,33.97,75.2,88,20,2.55
235,Bathsheba,BB,2020-02-22 22:11:26,13.22,-59.52,82.4,69,20,9.17
236,Kampot,KH,2020-02-22 22:14:18,10.62,104.18,78.8,65,0,1.12
237,Butaritari,KI,2020-02-22 22:14:18,3.07,172.79,83.89,75,94,6.55
238,Porto Seguro,BR,2020-02-22 22:13:31,-16.45,-39.06,84.2,66,40,14.99
239,Casian,PH,2020-02-22 22:14:18,11.04,119.71,77.83,75,24,17.58
240,Nadym,RU,2020-02-22 22:14:18,65.53,72.52,17.49,90,99,21.65
241,Makat,KZ,2020-02-22 22:14:18,47.65,53.35,29.3,84,0,9.44
242,Bandarbeyla,SO,2020-02-22 22:14:19,9.49,50.81,76.86,78,25,17.81
243,Arraial Do Cabo,BR,2020-02-22 22:14:19,-22.97,-42.03,77.0,88,75,13.87
